job_title,company_name,location
INVITATION FOR BIDS - Supply of ECD learning materials,Panchtara Yuwa Samrakshak Manch (PTYSM) Jajarkot,Jajarkot
Invitation for Bids,The Asia Foundation,Bardiya
Request for Proposal (RFP)-Annual Audit,Street Child of Nepal,Lalitpur
Account and Administration Coordinator,Adara Development,Humla
Call for roster-individual and/or firms,Fastenaktion Nepal,Lalitpur
ITB notice - House Renovation Works,Aasaman Nepal,Dhanusha
Recruiting foreign trade salesperson and foreign trade assistant,"Linwen International Trade Co., Ltd",Lalitpur
INVITATION FOR BIDS - Supply of Classroom Sitting Arrangement Materials,Panchtara Yuwa Samrakshak Manch (PTYSM) Jajarkot,Jajarkot
Junior Customer Support,Codewing Solutions Pvt. Ltd.,Kathmandu
SEO Specialist (Mid-Level),Codewing Solutions Pvt. Ltd.,Kathmandu
Content Writer with SEO & AI Workflow Experience,Codewing Solutions Pvt. Ltd.,Kathmandu
PROCUREMENT NOTICE — REQUEST FOR QUOTATION (RFQ),Himalayan Community Development Forum (HICODEF),Nawalparasi
ToR - Installation of Tube Well Boaring,Kalika Self Reliance Social Center,Kapilvastu
Invitation to Bid,Social Awareness Center SAC Nepal,Surkhet
Various Positions,Blind Youth Association Nepal,"Bara, Bardibas"
Project Finance and Compliance Officer,Blind Youth Association Nepal,Kathmandu
Front Office Coordinator & Social Media Assistant,Jyajo Real Estate,Kathmandu
Call for Expression of Interest (EoI),NEFIN,Kathmandu
Accountant,Sahayog Suppliers,Lalitpur
PRINCIPAL / RECEPTIONIST,Bright Future English School,Tanahun
Customer Service,Little miracle media co.ltd,Lalitpur
Electrical/Mechanical/Industrial/Environmental Engineering,TD Energy and Multi Construction Nepal Pvt. Ltd.,Lalitpur
Various Positions,Interactive Computer Systems p. ltd.,Kathmandu
REQUEST FOR APPLICATION (RFA),FHI 360 Nepal,Kathmandu
SEO ANALYST,GrowByData Services Pvt. Ltd.,Kathmandu
Country Director,Plan International Nepal,Lalitpur
Research Analyst / Associate Analyst,ICRA Nepal Limited,Kathmandu
RESEARCH SUPPORT - OPERATIONS TRAINEE,Possible,Kathmandu
Counsellor,KOSHISH,Nuwakot
Project Officer – Rights-Based Program,FAITH,Kathmandu
Documentation and Admin Officer,The Organic Valley Pvt Ltd,Surkhet
Finance Officer,The Organic Valley Pvt Ltd,Surkhet
CALL FOR EXPRESSION OF INTEREST (EOI) For Project Partners,Welthungerhilfe,"Lalitpur, Kanchanpur"
Sales Manager (Agri-Business),Aloi Private Limited,Kathmandu
Android Developer,Evolve,Kathmandu
Customer Service / Sales Executive,Chalise Training,Kathmandu
Health Worker,Manavsewa Ashram,"Biratnagar, Dharan, Jhapa, Gorkha, Hetauda"
Various Positions for Dhangadhi,A Reputed Company,Dhangadhi
आवश्यक सामाग्रीको लागि कोटेशन आह्वान सम्बन्धी सूचना,Working for Access and Creation Nepal (WAC Nepal) Achham,Far-Western Region
English Writer / Teacher (Digital Content),Andmine,Kathmandu
Call for Expression of Interest (EoI),One Heart Worldwide,Lalitpur
Account Assistant,Vijay Motors Pvt. Ltd.,Kathmandu
Sales Executive,Vijay Motors Pvt. Ltd.,Kathmandu
